# 万家基金乔良路演
# detected_language=zh probability=1.000
# duration_seconds=3340.1

[000013.0-000023.0] 非常感谢各位领导百忙之中来参加我们这边的这么一个路演。
[000251.7-000254.0] 那么这怎么说明一件事情呢
[000254.0-000256.2] 就是说在20年的时候
[000256.2-000259.1] 这四万亿的整体的基金
[000259.1-000264.4] 它的持藏结构肯定是跟300或500有很大的差异
[000264.4-000268.4] 那麼當然事後我們去看這個事情也很好理解
[000268.4-000277.1] 因為在20年的時候就是主動權益大家整體可能像消費行業整個平均可能大概差不多30個點40個點的費用
[000277.1-000279.1] 在指數裡面可能只有10幾點
[000279.1-000286.5] 所以就說他在極致的這麼一個集中報賞行業下面會追蹤這麼一個極致的行情
[000286.5-000300.5] 同样的道理就是我们看去年到今年,是不是今年年终的时候,大家可能也看到了一些比如说像电子,像可能在2012报出来的时候,基于十大正当股电子的配置率到40点。
[000300.5-000313.5] 所以就换句话来讲,就是八卦我们要本身,他在什么时候比较强,他在整体市场,就是主动权益基金,大家形成这么一个所谓的共识,或者是爆炒的时候,他的整体表现会非常好。
[000313.5-000321.5] 那么这个为什么就是说大家这个近期或者是从20年开始
[000321.5-000323.5] 大家对他有这么很强的关注
[000323.5-000325.5] 也就是说他在强起来的时候
[000325.5-000326.5] 或者跑得很好的时候
[000326.5-000328.5] 他的确表现是真的非常好
[000328.5-000331.5] 那么如果我们要跑一个指数
[000331.5-000332.5] 从这张图里面
[000332.5-000333.5] 其实你可以得到几个点
[000333.5-000335.5] 首先就是说
[000335.5-000337.5] 因为他是因为抱团的时候
[000337.5-000338.5] 特别强
[000338.5-000339.5] 这是第一个
[000339.5-000340.5] 第二个
[000340.5-000341.5] 但是有一个问题
[000341.5-000344.1] 就在于大家会发现他的报团的局势性
[000344.1-000346.5] 或者说他的这个报团的方向
[000346.5-000350.6] 以及他聚集的这么一个方向其实是一直在变化
[000350.6-000355.4] 比如1920年之前有什么消费
[000355.4-000356.8] 医药、新能源这些
[000356.8-000360.3] 然后从924,20年924起来到现在
[000360.3-000362.4] 可能更多是饭科技赛道
[000362.4-000364.0] 但是就算是饭科技赛道里面
[000364.0-000367.4] 其实也有很多的不同的西分的赛道
[000367.4-000368.6] 包括像机器人
[000368.6-000371.5] 包括像这个国产的这个算力
[000371.5-000373.6] 包括像这个海外
[000373.6-000375.8] 就是海外算力钱块的光罗块
[000375.8-000376.1] 对吧
[000376.1-000377.2] 还有其他的很多
[000377.2-000378.9] 甚至是商业航天一样的
[000379.2-000381.9] 反正阶段性的可能都会有一些所谓的热烈存在
[000382.9-000384.9] 所以这是为什么就是说要
[000385.2-000386.8] 虽然说看起来这个指数
[000387.0-000387.5] 对吧
[000387.9-000389.1] 定义来讲是个中位数
[000389.1-000391.4] 但真正要长期债这个指数其实很难
[000391.6-000391.8] 对吧
[000391.8-000393.2] 因为我们也做过一个统计
[000393.5-000394.7] 就是按照定义来讲
[000394.7-000395.4] 比如说
[000395.6-000398.2] 往回在任何一年里面回顾起来
[000398.2-000402.5] 跑赢中位数或是8万5米1的理论上应该剩下四五十万
[000402.5-000403.7] 因为这是他的一个定义
[000403.7-000405.4] 每天的中位数 对吧
[000405.4-000406.5] 但是呢
[000406.5-000408.2] 如果把这个时间稍微大喊了一点
[000408.2-000410.9] 比如说从过去的一年变成
[000410.9-000412.5] 过去两年都跑了 对吧
[000412.5-000413.5] 那这个比例
[000413.5-000414.2] 战胜的
[000414.2-000415.9] 联系两年跑去八万的比例
[000415.9-000418.0] 可能从四五十迅速地降到
[000418.0-000419.6] 可能只有百分之二十不到
[000419.6-000421.3] 不过再把时间再拉长
[000421.3-000422.6] 到了比如说五年
[000422.6-000425.2] 过去五年每一年都跑去八万米1
[000425.2-000426.9] 那么这个基金数转就多了
[000426.9-000427.7] 就五六千个理论
[000427.7-000428.9] 大概能做到这一点
[000428.9-000430.5] 只有五六之几几
[000430.5-000430.9] 对吧
[000430.9-000432.7] 也就是说只有千分之一
[000432.7-000434.1] 大概能做到这个事情
[000434.1-000435.0] 也就换句话来讲
[000435.0-000436.9] 这个做的这一点很难
[000436.9-000438.9] 其实为什么很难也很好理解
[000438.9-000440.3] 因为咱们A股的风格
[000440.3-000441.0] 对吧
[000441.0-000443.1] 就是不断在变化
[000443.1-000443.4] 对吧
[000443.4-000445.0] 大家这个主题的
[000445.0-000446.0] 所谓的这个主线
[000446.0-000448.2] 它是一直在切换的
[000448.2-000448.7] 然后呢
[000448.7-000449.8] 这个要做到这一点
[000449.8-000450.5] 就意味着说
[000450.5-000452.9] 你必须跟着这个主线
[000452.9-000454.5] 或者是主题不断的进行切换
[000454.5-000455.7] 而且你大概率
[000455.7-000457.7] 这个胜利比较高
[000457.7-000458.7] 阿联也可能也知道
[000458.7-000460.7] 就是说经过1920年内过黄军之后
[000460.7-000461.7] 大多数全新经理
[000461.7-000464.7] 大家其实现在都是一个赛道形态
[000464.7-000465.7] 什么意思呢?
[000465.7-000466.7] 换句话来讲
[000466.7-000468.7] 大家可能都是基于自己的能力圈
[000468.7-000473.7] 或者是看好的某些主题
[000473.7-000478.7] 或者是说自己擅长的某些范围内进行投资
[000478.7-000481.7] 那么就比较好的解释了
[000481.7-000483.7] 就是说为什么这个市场上
[000483.7-000485.7] 每一年都討厭這麼難
[000485.7-000487.7] 因為你可能你擅長到某一部份
[000487.7-000488.7] 在某一年你會
[000488.7-000489.7] 在那一年你會很好
[000489.7-000490.7] 一旦時間過去了
[000490.7-000492.7] 可能又不好
[000492.7-000494.7] 所以這也是回到前面一個問題
[000494.7-000495.7] 就是說
[000495.7-000496.7] 為什麼就是說
[000496.7-000497.7] 從權益
[000497.7-000498.7] 如果說
[000498.7-000500.7] 做權益的講座來講的話
[000500.7-000501.7] 要長期討厭這個指數
[000501.7-000502.7] 難度非常難
[000502.7-000504.7] 那麼
[000504.7-000505.7] 那麼要做到這一點
[000505.7-000506.7] 怎麼實現呢
[000506.7-000507.7] 就是核心點
[000507.7-000508.7] 就是說我們要有一套
[000508.7-000510.7] 非常系統性的方法
[000510.7-000511.7] 能夠很好的
[000511.7-000518.9] 好的能够跟踪上这么一个趋势性或者是说这个整个的这个市场这么一个主题的一个电话
[000519.5-000522.0] 那么要做到这一点呢 其实这里面临点过问题
[000522.7-000528.7] 第一个问题呢就是说 因为815要本身基金去做 意味着什么呢 就是意味着其实我们在任何一个时间里
[000529.4-000533.9] 其实我们是很难知道这个他的实际的持藏的 因为
[000534.8-000538.1] 大多数的贫困基金或者绝对基本上所有的贫困基金
[000538.5-000540.2] 现在基本上都是属于场外基金
[000540.2-000543.6] 查外基金它基本上是不会披露每天净值的
[000543.6-000544.8] 而这是每天的食堂的
[000544.8-000547.8] 你只有通过季报、年报去看
[000547.8-000549.4] 它季报会之后一个月
[000549.4-000552.4] 年报会之后比如说这个两个月左右
[000552.4-000555.2] 那么在当下这么一个快速变化的行情中
[000555.2-000559.2] 你用这种吃后一个月两个月的这么一个模式去跟踪的话
[000559.2-000560.2] 肯定是不可行的
[000561.2-000561.8] 对吧
[000561.8-000564.2] 所以首先一点就是说要估算值当的一件事情
[000564.2-000565.2] 其实就很重要
[000565.2-000566.0] 对吧
[000566.0-000566.4] 然后呢
[000566.4-000567.8] 所以在这个层面来讲的话
[000567.8-000570.8] 我们外交量化开放了一套
[000570.8-000572.8] 在业内算是比较领先
[000572.8-000574.8] 这么一套算法
[000574.8-000577.6] 能够比较准确的
[000577.6-000579.8] 同时也比较实实的估算
[000579.8-000581.8] 每一支钱已经它的一个
[000582.8-000584.8] 具体的一个个股持仓
[000584.8-000586.8] 那么举个例子
[000586.8-000588.8] 就比如说这个
[000588.8-000589.8] 怎么理解这个事情
[000589.8-000591.8] 就是对于每支金来讲
[000591.8-000593.8] 我们对于它每一天的个股的持仓
[000593.8-000595.8] 都会有一个怎么一个估算
[000595.8-000601.7] 比如说今天是9月16号,我们的最新一期的估算应该是会到9月15号
[000601.7-000606.8] 所以这个估算方法本身对于我们当年事情其实是非常重要的
[000606.8-000612.7] 然后有了这个估算方法之后,下面面临的问题是什么呢?
[000612.7-000615.5] 就是我们怎么去跟这个指示的问题
[000615.5-000619.6] 那么一个比较自然的选择,就说既然咱们有这个算法
[000619.6-000624.2] 那么我们就把这个底层的五流签值基金的值仓全部算出来
[000624.2-000628.2] 然后把它做一个平均,是不是就可以得到8151的实际尺导
[000628.2-000630.4] 这个是一个很好的想法
[000630.4-000636.2] 但是就算做这件事情本身,是不是就能够跟得上市场的这么一个风险风格的变化呢?
[000636.2-000640.2] 这个其实稍微可能还不太能够做到
[000640.2-000643.2] 原因在哪呢?在于说
[000643.2-000646.6] 英文我们如果说把这56000的基金全部把它
[000646.6-000651.2] 迟到平均算出来,得到一个平均的一个尺仓的话
[000651.2-000660.8] 那你会发现,就是说它反映出来的市场的变化是非常非常的平滑,或者非常非常的不显著,对吧?
[000660.8-000667.6] 那么我举个例子,比如去年三季度曾经有过一波这个有色的一个很显著的一个有色行情
[000667.6-000676.6] 那么事后我们去复盘,我们拿比如说二级报公布的基金持仓,跟三级报公布的基金持仓去,就基报持仓作为一个对比
[000676.6-000679.1] 那么基于这些比较以后发现
[000679.1-000684.9] 就是主动权益本身对于有色的增加配置增加了几个点
[000684.9-000687.6] 就是因为它本身这个基金有色可能长了几十个点
[000687.6-000689.6] 大家会认为大幅增加有色
[000689.6-000690.6] 大幅增配有色
[000690.6-000693.1] 但实际上你会发现在这个期间
[000693.1-000695.6] 增费了有色的这个实际的产回增加
[000695.6-000697.6] 其实大概也就不到两个点左右
[000697.6-000699.6] 其实并没有大家想那么多
[000699.6-000702.1] 那这个怎么去解释为啥只加了这么一点
[000702.1-000705.9] 但这个航行或者说有色这个航行怎么能长那么多
[000705.9-000709.4] 其实这个也是自强的,为什么呢?
[000709.4-000715.2] 因为有色本身它就不是一个很大的一个马框,就是它的股票的数量
[000715.2-000717.4] 包括它整个的市值其实并没有那么大
[000717.4-000722.2] 那么两个点对于主动权益来讲
[000722.2-000728.3] 你把它换成金额大概是最新的话,大概权益大概三万多亿吧
[000728.3-000732.5] 那我们就算三万四万亿,那也就是说整体的这个两个点
[000732.5-000735.5] 待会儿拿600亿到800亿的一个增量资金
[000735.5-000737.2] 当然你还要替助掉
[000737.2-000739.7] 可能有一些是二十多买了
[000739.7-000741.6] 然后三期都是抵制前
[000741.6-000743.0] 大家未来不希望人家看到
[000743.0-000744.6] 就是所谓的洗澡
[000744.6-000745.5] 它会把它卖掉
[000745.5-000746.0] 对吧
[000746.0-000749.5] 所以至少有这么一个执赃或者更多
[000749.5-000751.9] 那么这么一大几百亿的资金
[000751.9-000754.0] 买入有时候这么一个几十五票了
[000754.0-000755.3] 这么一个赛道
[000755.3-000755.9] 对吧
[000755.9-000758.2] 而且是在一个相当短的时间内
[000758.2-000761.8] 可能就一到两个月的时间去加上去了
[000761.8-000764.3] 那有色产生一过比较大的好奇也很好理解
[000764.3-000766.4] 所以这两个事情本身并矛盾
[000766.4-000767.9] 那对于我们做这个事情
[000767.9-000770.5] 就是去捕捉市场的这个方向变化的话
[000770.5-000774.6] 那很显然用一个平均的这么一个概念其实是不太够的
[000774.6-000775.3] 对吧
[000775.3-000777.1] 特别是当市场变化很怪的时候
[000777.1-000778.9] 所以呢我们就做了更进一步
[000778.9-000780.2] 我们就做了一个优选
[000780.2-000780.8] 就是
[000780.8-000784.8] 换句话来讲就是我们实际上想跟踪的东西就已经不简单单
[000784.8-000786.6] 只是全市场
[000786.6-000788.9] 这么一个中位说我是民主的概念
[000788.9-000791.7] 我们会从中优选一部分的这个
[000791.7-000794.7] 就是既优的主动权益基金
[000794.7-000797.0] 那么具体的优点的方法
[000797.0-000800.2] 就是说我们是用了一条量化选基金的一个模式
[000800.2-000801.5] 但是大概的一个意思
[000801.5-000802.7] 或者大概的一个综持
[000802.7-000805.7] 就是我们要选出短期业绩非常优秀
[000805.7-000809.6] 从时中长期业绩还过得去的这种基金
[000809.6-000810.9] 短期业绩优秀
[000810.9-000814.0] 指的就是比如说过去一个月到三个月证明去区间
[000814.0-000816.0] 整个绝对收益
[000816.0-000818.4] 在市场上排名比较高显
[000818.4-000820.6] 当然这个具体的做法比这要更复杂
[000820.6-000821.8] 我只是便于大家理解
[000821.8-000824.1] 我大概讲它的底层的一个意思
[000824.1-000827.1] 那么短期的优异意味着什么
[000827.1-000829.3] 意味着说这一类基金
[000829.3-000833.7] 选择的基金它的持倉股票
[000833.7-000836.7] 行业风格跟当下的市场比较契合
[000836.7-000838.6] 这个必然是一起的
[000838.6-000839.2] 举个例子
[000839.2-000841.7] 比如说这一波是科技走得很好的时候
[000841.7-000843.3] 市场前面排名比较好的
[000843.3-000844.1] 成了好的基金
[000844.1-000845.5] 那肯定是偏科技的基金
[000845.5-000847.0] 如果科技不行了
[000847.0-000850.0] 变成比如说周期红利很强的时候
[000850.0-000852.4] 那前面市长说跑的最好的基金
[000852.4-000855.2] 短期跑的最好的基金肯定是有色的基金
[000855.2-000855.8] 对吧
[000857.0-000858.0] 所以这个很好理解
[000858.0-000861.2] 然后呢为什么就是说我们还要选这种中长期
[000861.2-000863.2] 比如说一年两年维度不能太差
[000863.2-000866.0] 因为我们主要是想筛逐掉一系列这种
[000866.0-000868.4] 就是这种纯粹读国型的这种基金
[000868.4-000870.2] 因为有些基金可能
[000870.2-000871.8] 虽然市场并不是那么多啊
[000871.8-000874.6] 但是可能是一种所谓的这种缩哈市做
[000874.6-000877.0] 就是一会儿买仓干这个
[000877.0-000878.2] 一会儿买仓干净
[000878.2-000878.8] 对吧
[000878.8-000882.8] 那么这种呢就是说短期如果谈腰月的时候可能印象就会比较优异
[000882.8-000887.8] 但是呢因为他的这种极致的满层缩发的做法
[000887.8-000892.2] 拉长了比如说从一年两年后就来讲大概里这种基金的液体是强制来说会
[000892.2-000898.3] 比较垫底对吧除非特别少数这种特别极端的质量很重
[000898.3-000902.8] 所以呢通过这个模式呢就是我们选从选持上五六千个基金里面
[000902.8-000904.8] 最后选是大概差不多三百个左右
[000904.8-000906.8] 作为我们的这个优秀权益基金
[000906.8-000910.6] 然后选出来之后呢,然后在基于前面给大家讲到的
[000911.4-000916.3] 我们的这个池汤的算法,对吧,把这一每一只基金的池汤
[000916.5-000920.9] 做一个等权的这么一个
[000920.9-000924.0] 消价,就是等权的这么一个平均吧
[000924.5-000926.5] 简单来讲,就是每个基金
[000926.5-000929.1] 我们算的池汤,它现在这个百分比嘛,对吧
[000929.1-000933.2] 这个百分比乘以三百分之一,就是它的一个等权的权重,然后加起来
[000933.4-000935.2] 最终得到的是什么,就是
[000935.2-000938.0] 一个股票组合,这个股票组合代表的就是
[000938.5-000941.4] 呃,我们优分传这300个一斤最近一期的
[000941.6-000942.4] 频率仓位
[000942.6-000946.0] 几个例子,比如这300个一斤里面,可能大家都拿了百分之
[000946.2-000947.5] 6的中级虚创
[000948.0-000952.1] 那么最终我们的股票组合里面,如果所有人都是这样的话,那去虚创就是6点
[000952.4-000957.5] 那如果说有一半拿了虚创6点,一半没有拿虚创,最终就是3个点
[000957.8-000959.3] 对吧,它是一个频率嘛
[000960.3-000963.1] 那么有了这个东西之后,它怎么用这个东西
[000964.4-000965.2] 就是我们
[000965.2-000968.6] 达法一刚才讲的通过优选级三百个级经营
[000968.6-000970.6] 然后就是测试它的市场
[000970.6-000975.2] 拿到最新一期它的这个这个这个个股的这么一个配置
[000975.2-000977.6] 那么本质上它其实代表的就是说
[000977.6-000979.6] 最近级优的这三百个级经营
[000979.6-000982.2] 它的整体的一个一个持有
[000982.2-000983.6] 而这个里面不光是有个股
[000983.6-000985.2] 就是有个股的成分
[000985.2-000986.6] 还包括更重要的
[000986.6-000989.6] 它的权重代表了最后整体
[000989.6-000992.2] 可以推到出来它的行业和风格的配置
[000992.2-000993.2] 那么对我来说
[000993.2-000994.6] 其实我们最看重的是什么
[000994.6-000996.9] 其实就是它的行业风格的配置
[000996.9-001002.2] 而不是说它的所谓的重产股的各股本身
[001002.2-001003.4] 它怎么理解这个事情呢
[001003.4-001006.6] 因为我们自己通过研究发现
[001006.6-001009.0] 就是说绝对的权益类基金
[001009.0-001011.4] 大家的超过收益相对于市场
[001011.4-001014.2] 不管是权威也好
[001014.2-001016.0] 还是说某一个具体的支出
[001016.0-001019.0] 比如账份中指或者是莫斯坦白
[001019.0-001020.5] 相对于任何一个基准的
[001020.5-001022.2] 那么一个超过收益绝对部分
[001022.2-001027.3] 其实是来自于这个基金本身的行业和风格的配置
[001027.3-001031.2] 而不是来自于个股选择
[001031.2-001033.1] 那我给大家举个例子 大家就能明白这个时间
[001033.1-001036.0] 就比如说我们把时间拨回到2020年
[001036.0-001038.1] 就当年有一个经济利益
[001038.1-001038.5] 然后呢
[001038.5-001042.7] 他比如说战胜了大盘40个点
[001042.7-001044.3] 那么我们拿他的持仓过来
[001044.3-001047.2] 用巴尔的这条方向做个规定分析
[001047.2-001049.2] 然后就会发现其中
[001049.2-001051.5] 因为巴尔这个规定分析是这样
[001051.5-001058.0] 他的框架是把任何一个组合 股票组合相对于市场基准
[001058.0-001062.2] 比如说300也好 或者是全位也好 或者任何一个基准
[001062.2-001064.2] 把这个超收以后进行一个分解
[001064.2-001066.3] 那么它分解会有几个先后
[001066.3-001070.7] 它会把超收以先分解到行业风格上面
[001070.7-001074.1] 然后不能够被行业风格解释的部分才会放到各部
[001074.1-001076.4] 所以它是一个逐渐逐渐的底进的过程
[001076.4-001079.0] 回到刚才讲的这个例子里面
[001079.0-001081.2] 这个基金四十点超额
[001081.2-001082.6] 可能你会发现
[001082.6-001085.2] 它其中四十点里面三十五点的超额
[001085.2-001088.4] 来自于它比如配了百分之八十的实名饮料
[001088.4-001089.8] 然后又配了很多
[001089.8-001091.4] 就是它这个各股层面
[001091.4-001093.8] 行业层面是非常主
[001093.8-001096.0] 这个实名饮料的话
[001096.0-001099.4] 这个是占了大头百分之八十
[001099.4-001100.8] 同时在各股层面
[001100.8-001102.4] 这个风格层面来讲的话
[001102.4-001105.0] 只有很多这种高动量的
[001105.0-001107.0] 长期涨的这种合一中堂股
[001107.0-001107.8] 对吧
[001107.8-001109.6] 那这两件事情加起来
[001109.6-001111.9] 可能占了这四十个点已经三十五个点
[001111.9-001113.4] 也就说从八六九来看
[001113.4-001115.5] 这个金经理的这个组合
[001115.5-001119.1] 它四十个点超里面三十五个点是来自于行业风格的选择
[001119.1-001122.4] 而不是来自于各股就剩下的拦住
[001122.4-001125.2] 当然从这个金经理本身从它的初始点来讲
[001125.2-001126.5] 他可能会觉得说
[001126.5-001127.8] 你这么做不公平
[001127.8-001129.8] 我并不是说先选了
[001129.8-001131.1] 时明一定要选来久
[001131.1-001132.4] 再选了这个
[001132.4-001133.7] 在那里面再选
[001133.7-001135.4] 我就是直接一步到位
[001135.4-001137.0] 我就是全市长选股
[001137.0-001141.3] 但是呢,我从我的框架来讲,我选择25票里面,可能就16只只白酒
[001141.9-001142.9] 那么
[001143.9-001148.2] 但这个从我们量化的角度去看这个事情,其实不重要,就是你怎么产生那个组合
[001148.5-001156.2] 你到底是自下而上,自下而下,还是怎么做出来的不重要,重要的是什么,重要的是结果,就是我们看到哪里一个结果
[001156.3-001163.6] 然后用我们刚才已经有的这套巴拉拉的归因分析,归因分析的本身就是先行业,分隔,然后再隔
[001163.6-001173.3] 从这个方向去看,事实的结果去看,你随便任何一个组合绝对都是,因为我们当时做了很多的权宜性的一个归因分析,
[001173.3-001184.7] 我们发现基本上所有的最后的超出率都是一半以上的,就是一半甚至有的三分之二以上,都是来自于它在那个时间超配了某一些行业和风格。
[001184.7-001187.4] 这个我相信大家的认知也不要一样
[001187.4-001190.8] 就比如说今年很多这种炒得特别好的股
[001190.8-001193.5] 股级冠军或者是八年冠军
[001193.5-001197.4] 大家清一色的拿着都是想要什么一中天或者是中心功夫
[001197.4-001199.2] 就把这种恶意的东西
[001199.2-001203.2] 所以对于我们来讲
[001203.2-001207.5] 我们学习行业和风格就能够至少把这些优秀权益
[001207.5-001212.2] 其中至少一半以上的这个超国的这部分能够获取
[001212.2-001226.9] 然后另一半呢我们通过我们的量化手段进行增强就什么意思呢就是为什么我们要后面不直接就用他的这个组合来做或者是说我们直接就在他的那个前面这个机优的中弹过去选择
[001227.5-001228.7] 原因又在于说第一个
[001229.5-001236.4] 就是说我们希望进行一个分散化 因为8501或者优秀权益基金他相对于全市场都相对宽基
[001236.4-001244.3] 前面给大家讲到他并不是每一年都会讲回过过去17年2010年到现在大概基本上也就是一期
[001245.3-001249.0] 或者和明显的跑零三百三百和五百中间的一个
[001249.7-001256.7] 主要也就是17年19年20年25年26年也就是五年对吧 17年里面只有五年做到这一点
[001257.2-001263.6] 在剩下的时候呢 他往往就是在三百五百之间 就是整体的这个作为一个主动管理的一个中卫书
[001263.6-001267.6] 或者甚至像比如说2014年的时候,它是大厨跑出了三百公里
[001268.6-001273.6] 我们作为一个股票型基金马动,我们肯定是希望就是说核心目的
[001273.6-001277.6] 就是我们能不要是说,不仅是说要在它后面很强的时候,我们能跑
[001277.6-001280.6] 因为它不好的时候,我们肯定也得要战手
[001280.6-001282.6] 或者是说至少不能跑得太差
[001282.6-001285.6] 那么这个靠我们的实验就靠第二了
[001285.6-001287.6] 就是我们的量化手段进行增加
[001287.6-001291.6] 因为我们的量化手段里面的本质的主要的这个
[001291.6-001296.2] driving force,就是它的这个驱动物主要是靠我的量化alpha,个股的alpha
[001296.2-001301.9] 那因为量化的alpha本身跟权益的这个超额我刚讲的其实是一个互补的概念
[001301.9-001305.9] 大家想一想,优秀权益基金什么时候比较强?
[001305.9-001311.1] 就是当大家有很明显的动量,就是让它有明显的动量风格的时候,对吧?
[001311.1-001317.1] 就比如说,2020年,比如说像纪念上百年,有特别强特别明显的趋势的时候
[001317.1-001327.1] 这个时候就是权益基金整体表现会远远超越市场的平均大海洋或者其他的这个量化的这种普通量化基金
[001327.9-001334.3] 是吧 但是这种期间呢 其实你会发现不管是2020年还是今年上半年 就是普通的量化
[001334.7-001336.9] 大家整体特别是量价为主的这种
[001338.2-001342.3] 量化超越都比较弱 对吧 就是一个典型代表的量化私募
[001342.3-001349.8] 然后似乎你会发现他2012年也好 包括今年上半年也好 其实整体量化潮舞都非常多 就是做的这个潮舞
[001351.0-001355.0] 所以呢 反过来 当Alpha1很弱的时候 就比如说像
[001355.8-001362.1] 二年二三年 就是当全翼中韩舞崩盘的时候 对吧 就是持续流出 持续的时候
[001362.7-001366.3] 反而讲就是说 量化的这么一个潮舞 特别是想量价
[001367.0-001368.4] 相关的这种策略
[001368.4-001371.2] 反映这个效果比较好
[001371.2-001374.8] 所以两者整体的一个互补吧
[001374.8-001378.0] 就带来了一个长期的这么一个好说意
[001378.0-001378.6] 对吧
[001378.6-001379.8] 当然我们看看效果
[001379.8-001381.0] 就是万家元真呢
[001381.0-001382.2] 大概差不多是
[001382.2-001385.4] 25年是48个年的
[001385.4-001386.8] 去年48个年的收益
[001386.8-001388.2] 讨厌的85秒15点
[001388.2-001390.4] 今年是到8月底是23个点
[001390.4-001392.2] 24个点吧
[001392.2-001394.2] 然后讨厌85秒16点
[001394.2-001403.2] 而瑞選是25年訪運8月5日12日裡面,今年是訪運到8月底吧,訪運8月5日要19個點
[001403.2-001407.2] 這個是我們的一個主動量化的一個策略
[001407.2-001417.7] 然後呢,下面的話,大力光譽這個主動量化這個有問題嗎?
[001417.7-001424.2] 有問題可以隨時提示,如果沒有問題,我們就直接去切換到這個
[001424.2-001438.1] 我問一下您做這個優秀權益基金指出
[001438.1-001441.1] 您有回應過他給那個8501會強多少?
