# 民生加银刘浩交流
# detected_language=zh probability=1.000
# duration_seconds=3806.7

[000352.7-000354.7] 所以不確定性會更大一點
[000354.7-000357.3] 所以給的固執的折價會更多
[000357.3-000362.5] 但是他們相應的雖然是做第三世界的生意
[000362.5-000365.6] 但是他們既可以對應中國企業出海的需求
[000365.6-000366.6] 就說渣黨是吧
[000366.6-000368.2] 在哪里终止需求
[000368.2-000369.9] 又可以对于中国有钱人
[000369.9-000373.3] 在海外去把一寸资金
[000373.3-000375.7] 转移到海外的需求
[000375.7-000380.3] 还可以对于中国的企业在海外破产
[000380.3-000382.1] 能需要才X的需求
[000382.1-000384.7] 所以其实从数据上也可以看到
[000384.7-000387.2] 它的各方面的增速
[000387.2-000388.4] 盖房增长
[000388.4-000389.8] 信贷的需求
[000389.8-000391.6] 包括它的不可替代性
[000391.6-000392.8] 其实都是很强的
[000392.8-000394.8] 所以在那个时候选择了马路
[000394.8-000396.0] 现在这个时候
[000396.0-000400.2] 純粹是因为它的物质体系在我们这些安安区域合理
[000400.2-000401.7] 我们还没有把它卖光
[000401.7-000402.7] 但是也卖卖了
[000402.7-000408.2] 你说合理就比如说刚出的美国的PLV是1.5到2接近美国了
[000408.2-000409.2] 接近美国了
[000409.2-000416.9] 就是扎打它的业务和国内的银行其实差别
[000416.9-000418.0] 业务差别很大
[000418.0-000418.5] 非常大
[000418.5-000421.0] 它VC的业务占比很高
[000421.0-000424.8] 它VC业务占利润比例应该是有50%以上
[000424.8-000428.7] 国际上堂飞溪的业务基本没有什么
[000428.7-000431.1] 就是特别典型的飞溪的业务
[000431.1-000435.2] 像国内的昭黄
[000435.2-000439.2] 昭黄是零售战笔包
[000439.2-000440.3] 零售战笔包决定了
[000440.3-000444.2] 它其实主要还是靠利息理论风险
[000444.2-000446.9] 为什么大家之前那么喜欢昭黄
[000446.9-000450.0] 是因为昭黄它的零售战笔包之后
[000450.0-000453.1] 零售和骨它有很多是这种国旗团圆
[000453.1-000454.5] 那一家能力言若
[000454.5-000456.6] 所以它的貸款專長
[000456.6-000458.3] 就是它現在的成本
[000458.3-000460.4] 就是客戶在你這邊存的錢
[000460.4-000463.9] 你要支付的利率相對來說是比較低的
[000463.9-000465.7] 所以這個就是招航的優勢
[000465.7-000468.6] 它有很多的火氣存款
[000468.6-000470.3] 它的成本專長比較低
[000470.3-000473.0] 而其它的四大航的成本專
[000473.0-000475.2] 大部分對一個就是國內的
[000475.2-000478.1] 很大很大的國洋企業的存款
[000478.1-000480.4] 所以它成本專長很固定就是這些
[000480.4-000481.9] 也比招航明顯的高
[000481.9-000483.1] 不是這種零售
[000483.1-000484.9] 所以召喚零售好就好
[000484.9-000487.7] 在它的成本项比较低
[000487.7-000490.3] 然后就是这一点
[000490.3-000494.3] 但是大打就是另外完全不同的一个逻辑
[000494.3-000495.9] 贵关还有成本项的逻辑
[000495.9-000499.1] 因为贵关它是在香港的地位
[000499.1-000500.9] 成本的地位是很强的
[000500.9-000502.3] 很多香港人成钱
[000502.3-000504.7] 就是指着要花贵关里面存
[000504.7-000506.7] 大打不是大打没有这种地位
[000506.7-000509.9] 所以大打的成本利息关的成本
[000509.9-000512.1] 是没有那么明显
[000512.1-000518.5] 它最大的優勢在於,它在東南亞,它在南亞,它在非洲這些地區
[000518.8-000524.4] 它的經營能力是很強的,它的網點分布的非常多
[000524.7-000528.5] 它可以說是唯一一家既在中國大陸有足夠多的網點
[000528.8-000533.6] 又在海外這些第三世界有足夠多的網點的唯一一家公司
[000534.2-000536.2] 其他任何一家公司都沒有這個能力
[000536.5-000539.3] 中國的公司,像四大行在國內的網點
[000539.3-000542.3] 但是在海外非常非常的少
[000542.3-000547.3] 它蠻也完成国内公司在海外复杂的信贷或者名字需求
[000547.3-000552.3] 海外的花旗这些银行也在慢慢退出国内的市场
[000552.3-000555.3] 所以现在就是当时买入逻辑
[000555.3-000556.3] 二维也买入逻辑
[000556.3-000559.3] 其实现在也在持续的在walk
[000559.3-000565.3] 中国和海外的通道在越来越窄
[000565.3-000567.3] 但是这个最窄的通道
[000567.3-000570.8] 永遠有貴重和渣打的一席之地
[000570.8-000572.2] 如果再繼續變占
[000572.2-000574.0] 永遠就有渣打的一席之地
[000574.0-000575.9] 因為渣打是在文化大革命的時候
[000575.9-000578.4] 都在和中國大陸也接觸的
[000578.4-000580.2] 它是從來沒有裝備過自己
[000580.2-000582.7] 在大陸地區的辦事的網點
[000582.7-000589.6] 所以它跟上層的中國大陸上層的官僚的
[000589.6-000594.9] 歷史上的一個勾連關係是非常非常深刻的
[000594.9-000596.1] 这个成员了
[000596.1-000599.5] 他的风险是什么
[000599.5-000602.7] 觉得这个股价就是一个成牛股
[000602.7-000603.7] 就是个成牛股
[000603.7-000607.3] 所以其实我其实也一直觉得
[000607.3-000609.3] 这个票有可能卖早
[000609.3-000610.3] 有可能他能
[000610.3-000611.7] 他在合理物质的位置
[000611.7-000612.5] 他继续拿着
[000612.5-000616.1] 他还能每年收获一个8%到10%的收益率
[000616.1-000616.9] 是很有可能的
[000616.9-000619.3] 他的股息率也比较高是吗
[000619.3-000621.7] 股息加回购比较高
[000621.7-000623.0] 那我当时买的时候
[000623.0-000624.8] 这个价格也都是12的点
[000624.8-000625.8] 主要靠回购
[000625.8-000627.1] 回购332
[000627.1-000628.0] 现在的话
[000628.0-000629.0] 股价涨上来了
[000629.0-000630.2] 股息价回购
[000630.2-000632.4] 大概是7个点左右
[000632.4-000634.2] 仍然是比较高的一个状态
[000634.2-000636.1] 比国内现在大家说的什么
[000636.1-000637.8] 建设银行
[000637.8-000638.7] 工厂
[000638.7-000640.3] 这些大家看上去不值得
[000640.3-000641.2] 但是是不是
[000641.2-000642.7] 因为港国还要看
[000642.7-000643.8] 扣到红利
[000643.8-000644.7] 税
[000644.7-000646.1] 要扣到红利税
[000646.1-000646.9] 扣到红利税的话
[000646.9-000647.8] 大概是6个点
[000647.8-000649.5] 因为它主要是回购
[000649.5-000651.5] 回购不用扣红利税
[000651.5-000656.1] 所以你算的这个百七是扣完税之后的 是吧
[000656.1-000660.2] 扣税之前是百七 扣完税之后的它六点几的点吧
[000660.2-000666.2] 那也比国内不少投资是可算的 是吧
[000666.2-000671.2] 包括比它健身里还不飘 我觉得都要好算
[000671.2-000677.6] 因为我始终觉得就是对国内经济的一个判断
[000677.6-000678.8] 不同的人判断不一样
[000678.8-000683.4] 就像刚才你说的不同的价值投资者底层的国际是不太一样的
[000683.4-000688.9] 我始终觉得国内地产链 银行链的风险并没有完全的出清
[000688.9-000690.7] 它是烂在一锅粥里面
[000690.7-000692.6] 就看你这样烂的这锅粥里面
[000692.6-000696.7] 到时候只能去做资本化的一个出清
[000696.7-000699.7] 现在国内的银行从二五年开始
[000699.7-000705.4] 就持续的先是往这个传世
[000705.4-000707.2] 先是中国银行还是那个
[000707.2-000709.0] 主子五千亿
[000709.0-000711.3] 然后后来又想起他的特色
[000711.3-000712.1] 不给他主子
[000712.1-000714.1] 每个房子一千亿还是多少
[000714.1-000714.9] 然后
[000714.9-000717.2] 通过这样持续不断的主子
[000717.2-000719.0] 他会让普通的权益
[000719.0-000721.3] 慢慢的慢慢的就被损耗掉
[000721.3-000722.3] 所以你
[000722.3-000724.6] 你不能贪那一点补习
[000724.6-000727.7] 你应该看他资产科代表的一个健康状况
[000727.7-000729.0] 中国的这些银行资产
[000729.0-000731.8] 在那健康状况是远远不如过程下来
[000731.8-000733.6] 所以当时做的贪断是
[000733.6-000735.1] 如果能把灰瘟渣打
[000735.4-000740.0] 而且灰瘟渣打的补习率明显比中国的国企行量高
[000740.2-000744.8] 但我绝对不会有任何一毛钱去买中手的银行
[000745.1-000747.4] 但是现在这个状态就是一个难题了
[000747.6-000749.2] 灰瘟渣打涨得太多了
[000749.2-000750.7] 会有来说是一个慢慢减仓
[000751.0-000752.0] 比较舒服的位置
[000752.5-000755.1] 灰瘟渣打有什么风险也有风险
[000755.3-000760.2] 就是最大的风险就是它的长口耗物太过风散了
[000760.4-000761.7] 就是第三世界
[000761.7-000764.2] 如果說真的像大家擔心的
[000764.2-000770.6] 因為泡沫破裂 泡沫被刺破了
[000770.6-000776.4] 那麼錢總是在一時間內影響最大的兩個市場
[000776.4-000778.3] 一個是美國 一個是中國
[000778.3-000780.8] 他們這些做第三世界生意的
[000780.8-000784.8] 他們的風險是相當的大的
[000784.8-000788.4] 破產風險 就是不說破產風險
[000788.4-000791.6] 他們業務可能會瞬間冰凍
[000791.6-000792.9] 那這種情況下
[000792.9-000795.4] 貴婚扎感還能夠又面臨一次
[000795.4-000798.5] 像花旗銀行在上十一九十年代
[000798.5-000803.1] 他在納美遇到的那種困難的情況
[000803.1-000803.9] 他也做得很好
[000803.9-000809.5] 但就是因為納美突然間被美元加息
[000809.5-000811.8] 影響下失去了這個流動性
[000811.8-000813.9] 所以這是貴婚扎感最大的影響
[000813.9-000815.7] 全球宏觀的一個變化
[000815.7-000818.2] 如果全球宏觀一直這樣不溫度過
[000818.2-000819.2] 一邊擔心加息
[000819.2-000821.6] 一边担心经济危机
[000821.6-000824.8] 或者说这样其实是在这个点继续拿着有问题
[000824.8-000827.7] 但是我呢我就是相对悲观一些
[000827.7-000829.4] 所以我就略减一些仓位
[000829.4-000831.2] 嗯对其实我觉得都行
[000831.2-000834.6] 哈哈这您您框架是不会看比如说
[000834.6-000836.4] 比如说江泽户那边
[000836.4-000838.1] 质量比较好的那些
[000838.1-000839.2] 您说是陈晨三
[000839.2-000840.2] 对陈晨三
[000840.2-000843.4] 对今年很多大家都推那个陈晨
[000843.4-000845.4] 对陈晨航确实不止低
[000845.4-000847.4] 对然后就是之前
[000847.4-000850.3] 因為各種各樣的分析的產業
[000850.3-000852.0] 包括您撥的那個航廠的
[000852.0-000853.1] 礦界的事情
[000853.1-000854.7] 就跌了很多
[000854.7-000855.5] 對
[000855.5-000858.3] 就是我之所以沒有看呢
[000858.3-000859.8] 就是其實兩個原因
[000859.8-000861.3] 第一個原因坦説的說
[000862.3-000864.2] 坦説說成商行很多
[000864.2-000865.9] 它的不同成商行
[000865.9-000867.8] 它的底層資產結構
[000867.8-000869.4] 其實是很複雜的
[000869.4-000871.8] 我不是看銀行出生
[000871.8-000873.3] 所以看這個東西
[000873.3-000874.4] 對我來說
[000874.4-000876.6] 必須要在有很大安全編輯
[000876.6-000879.9] 或者明顯比我看的其他資產要好的情況下
[000879.9-000881.2] 我才願意去買
[000881.2-000882.7] 第二個原因是
[000883.0-000885.0] 就是乘上航的這些標記
[000885.3-000886.3] 確實現在
[000886.6-000887.9] 還挺好的
[000888.1-000892.7] 但是它並沒有脫離我對國內銀行判斷的這個大方向
[000893.0-000896.3] 就是底層跟地產的相關性
[000896.3-000899.1] 就是不管是直接相關還是間接相關
[000899.1-000901.2] 資產的相關性
[000901.2-000902.5] 還是說它的
[000902.5-000907.1] 股息率回頭到的率
[000907.1-000910.3] 它並沒有到一個我一定要買的情況
[000910.3-000912.7] 現在成山行高一點的應該是
[000912.7-000915.6] 可能也就五個多點的股息吧
[000915.6-000917.8] 想完之後也就五個多點的股息
[000917.8-000920.5] 上之前可能有一些有七個點不到的股息
[000920.5-000923.0] 五個多點的股息對我來說
[000923.0-000927.2] 一個有資產負債表觀風險的資產
[000927.2-000931.3] 我不足以構成我那麼強的銀行聯繫
[000931.3-000934.2] 对您还需要更多的固执保护才会考虑这些
[000934.2-000937.4] 对对因为我被他的生意本质上长期来看
[000937.4-000939.2] 没有那么的看好
[000939.2-000942.6] 还有一个让我有点您也有点担心的
[000942.6-000945.9] 这个当然是永远无法被证实也永远把被证为的
[000945.9-000951.0] 就是日本就是我们大家公认的就是现在中国在经历一波
[000951.0-000954.9] 这个宏观的驱赶感可能是一波时间
[000954.9-000957.7] 我有一个非常非常强的宏观的驱赶感
[000957.7-000959.1] 地产的中心
[000959.1-000961.7] 当时日本这个驱满感的过程
[000961.7-000963.9] 从1991年开始
[000963.9-000966.1] 其实它刚开始的时候也跟国内一样
[000966.1-000967.7] 那个银行涨的是很好的
[000967.7-000969.1] 大家发现银行的资产
[000969.1-000970.3] 没有受到影响
[000970.3-000972.9] 气差也没有受到太大影响
[000972.9-000974.9] 但是银行到1997年
[000974.9-000976.5] 被害到银行破产
[000976.5-000980.5] 然后是台湾银行出现了很大的资产问题
[000980.5-000983.2] 然后韩国银行出现很大的
[000983.2-000986.3] 韩亚银行出现很大的资产代表问题
[000986.3-000989.9] 当时日本的七大银行全都出现问题了
[000989.9-000991.5] 然后全都过程重整
[000991.5-000993.7] 全都就是股权重整
[000993.7-000998.5] 所以你最后从股东回报的角度来看
[000998.5-000999.9] 其实是非常长的
[000999.9-001003.7] 从97年到98年到2001年
[001003.7-001006.3] 只有4年的重整期
[001006.3-001008.3] 但是他们日本
[001008.3-001011.7] 它是财阀交错失误状态
[001011.7-001014.9] 导致它的银行它的风险漫长
[001014.9-001018.3] 它能延遲這麼七八年才發酵
[001018.3-001022.4] 中國的這個製度其實確保了
[001022.4-001024.9] 明海的爛障它可以犯更長的時間
[001024.9-001026.3] 所以你要我說
[001026.3-001028.7] 這個是不是可能過五年之後
[001028.7-001030.3] 明海的爛障會爛出來
[001030.3-001032.4] 那我沒有辦法保證
[001032.4-001034.5] 但是我感覺這個爛障
[001034.5-001038.1] 總有一天它會反噬到我們回報
[001038.1-001042.3] 所以導致我沒有那麼有信心
[001042.3-001045.0] 但是我现在确实在学习
[001045.0-001046.1] 看我是不是看错了
[001046.1-001048.6] 因为很多时候价值都值得
[001048.6-001050.5] 它就是需要不断的反处
[001050.5-001052.8] 是的回顾自己之前的观点
[001052.8-001054.7] 是不是有天物
[001054.7-001056.9] 是不是有很大的一个漏洞
[001056.9-001058.5] 因为假设实在太多了
[001058.5-001062.2] 很多假设你当时没有办法做出很明确的判断
[001062.2-001064.6] 现在其实是有办法能做出来的
[001064.6-001066.5] 但银行就是一个很典型的
[001066.5-001069.6] 但白酒之前我也做出过很强的假设
[001069.6-001073.2] 中国日本这个例子也是做出来就是觉得
[001073.8-001076.2] 就是就是夏天空间还极其的大
[001076.4-001079.0] 就是就是您应该也颗过
[001079.4-001080.4] 日本威士忌
[001080.4-001083.9] 就是现在在除了苏莱威士忌比较有名
[001084.0-001085.7] 日本威士忌也越来越有名
[001085.8-001087.4] 但是就算这么有名
[001087.5-001090.8] 其实从在单看日本国内的小贝来看
[001090.8-001091.7] 日本威士忌
[001092.0-001093.8] 从1990年之后
[001094.0-001096.3] 它的销量是下滑的盘子60%
[001096.6-001099.2] 它的价值也是下滑的50%
[001099.6-001100.9] 这是非常夸张的一个数据
[001100.9-001104.1] 这还是在他国际化的品牌认知
[001104.1-001106.4] 品牌别带做的很好的情况下
[001106.4-001108.5] 那么国内的这些高干酒
[001108.5-001111.2] 属实让我觉得这是一个很难的团体
[001111.2-001113.4] 你要做的比日本威士忌更好
[001113.4-001115.2] 你知道国内的这个做的
[001115.2-001118.2] 日本威士忌的那个主要是卖到
[001118.2-001119.3] 全球都有吧
[001119.3-001119.9] 全球都有
[001119.9-001122.3] 全球都是国内最大的区别
[001122.3-001124.9] 就是有最爱的内续事举
[001124.9-001125.9] 就只卖国内嘛
[001125.9-001127.7] 就是我刚才说的那种威士忌
[001127.7-001130.5] 他的下滑也是值得他在日本国内的下滑
[001130.5-001133.3] 他的海外是迅速的增长的
[001133.3-001137.8] 就是我不确定中国白酒能够走向全世界
[001137.8-001139.1] 外盘中国国内市场
[001139.1-001142.3] 因为这也是我们真的能看得清楚的东西
[001142.3-001145.1] 这我从日本威士忌做出的一个判断
[001145.1-001149.5] 就是在地产带来的同帮区放感的加费景之下
[001149.5-001154.2] 这种高价就哪怕你品牌认知越做越好
[001154.2-001156.4] 其实也是很难很难的
[001156.4-001158.4] 就是它是一个很难的难题
[001158.4-001159.8] 第二集我什么这些
[001159.8-001160.5] 您看过吗
[001160.5-001161.9] 我扫过
[001161.9-001167.2] 但是就是就是去年其实大家很多人判断那个
[001167.2-001169.5] 就是烟和酒两个两个消费
[001169.5-001171.9] 大家判断烟要比酒
[001171.9-001172.7] 比较差
[001172.7-001176.3] 那今年其实发现这个烟一路大
[001176.3-001178.0] 就是烟的几个标地
[001178.0-001180.5] 好像叫军墨国际这种一路大涨
[001180.5-001182.4] 它都有新逻辑涨出来了
[001182.4-001184.5] 那酒的逻辑一个都没兑现
[001184.5-001191.5] 我那个国内酒师还是行政和地产经济相关性太强了
[001191.5-001192.5] 太强了
[001194.5-001202.5] 总结来看的话你选这些标题其实是会放到全球去看它的这样一个规律
[001202.5-001206.5] 如果有全球对标的行业我会很喜欢
[001206.5-001212.5] 我一定会选那些做简单体的能做简单体的判断
[001212.5-001217.7] 就如果在全球範圍內其他國家經過我們國家的這個階段
[001217.7-001222.3] 這個行業大概都走不出來有長期股東回報的公司
[001222.3-001225.7] 那麼這個行業你告訴我這個公司能力再強
[001225.7-001230.2] 它能強過所有人類歷史100多年的歷史
[001230.2-001232.6] 所有這些有別的企業家
[001232.6-001235.2] 我覺得有可能但是這很難
[001235.2-001238.3] 我就是希望找那些就是經歷這個階段
[001238.3-001240.5] 還能有持續股東回報的
[001240.5-001242.6] 就是大陸同國家都有不同的
[001242.6-001244.4] 老師對我來說就是一個簡單的題目
[001244.4-001246.0] 只要選出那麼一兩項
[001246.0-001247.5] 比韓國也最好的
[001247.5-001248.7] 簡單來說
[001248.7-001250.0] 就比如說像反省
[001250.0-001250.9] 反省中國
[001250.9-001252.9] 現在其實國內關注的人
[001252.9-001254.0] 其實不算多
[001254.0-001256.2] 這個公司估值也不算特別的低
[001256.2-001258.2] 所以我就買了兩個多點
[001258.2-001261.5] 在我的持倉裡面
[001261.5-001263.0] 它的好處就在於
[001263.0-001265.5] 不管是日本 歐洲 還是美國
[001265.5-001268.4] 它在經濟經濟永泰下行的
[001268.4-001270.3] 這個去脈板的過程當中
[001270.3-001272.3] 這個西式的快餐
[001272.3-001274.3] 它的聯手化率
[001274.3-001277.3] 它都是穩定的緩慢的提升的
[001277.3-001279.3] 你從股東回報角度來看
[001279.3-001281.3] 它的符合收益率也基本上是
[001281.3-001283.3] 三十年到四十年為主
[001283.3-001286.3] 每年百分之十到百分之十二的收益率
[001286.3-001288.3] 也是非常的穩定的
[001288.3-001289.3] 所以
[001289.3-001290.3] 這就是
[001290.3-001291.3] 可能是一個簡單題
[001291.3-001293.3] 就是西式的餐飲
[001293.3-001295.3] 特別是雜基尾代表的西式的餐飲
[001295.3-001297.3] 可能就是會
[001297.3-001299.3] 有那麼一兩家能走出來
[001299.3-001300.6] 目前国内来看
[001301.6-001302.9] 我觉得
[001303.1-001304.7] 别就肯德基麦当劳这两家
[001305.2-001307.5] 其他的中市餐饮变化太大
[001308.0-001308.8] 比如说
[001309.0-001310.3] 看大家过去的
[001310.6-001311.8] 刚才有一个假设
[001312.1-001315.4] 比如说10到12或者10到15这样一个组合收益率
[001315.7-001317.2] 然后去找他的时间点
[001317.5-001318.8] 是不说适合码台
[001319.5-001320.8] 我就找他那个
[001321.1-001322.9] 就是去看他的固执中书
[001323.1-001324.6] 像那个海外的
[001324.9-001326.7] 现在麦当劳肯德基
[001326.7-001332.3] 它们虽然有一些其他的就是租金业务啊,这种SOTP起来会比较复杂
[001332.3-001336.0] 但是你综合来看,拜登了大概是30倍左右的市民估计
[001336.0-001338.9] 现在跌到了26,27倍
[001338.9-001343.4] 可能机呢,可能机的话就是百分之百的餐饮
[001343.4-001345.4] 它一直以来不知就越低一点
[001345.4-001349.1] 应该是,我记得25倍以下,25倍不到一些
[001349.1-001354.7] 而现在24倍,那么这个百分之百餐饮,百分之百中国这个标题
[001354.7-001360.3] 现在还处在成长的比他们成长期还要更靠前一点
[001360.3-001362.4] 它的估值是16-7倍
[001362.4-001364.5] 所以我觉得它就有安全电
[001364.5-001368.5] 就就是一个简单的情绪判断
[001368.5-001369.7] 你现在想不想买
[001369.7-001370.7] 你的机器想不想买
[001370.7-001371.7] 妈的想不想买
[001371.7-001374.1] 买干宝传球这些资产
[001374.1-001375.7] 然后如果你想买
[001375.7-001377.3] OK 那我告诉你
[001377.3-001378.9] 反正中国比他们更便宜
[001378.9-001380.9] 便宜百分之十
[001380.9-001381.9] 十几倍
[001381.9-001383.3] 16倍左右
[001383.3-001383.9] 对
[001383.9-001385.7] 便宜30%-40%
[001385.7-001387.3] 那你要不要买这个资产
[001387.3-001389.5] OK 如果你告诉我这个资产
[001389.5-001391.3] 还有各种各样的担心的点
[001391.3-001393.7] 那么你至少可以买一些
[001393.7-001395.7] 等你担心的这些冲减点
[001395.7-001396.7] 彻底报复之后
[001396.7-001399.5] 你对他的生意模式人知其实是没有改变的
[001399.5-001400.9] 你就可以加仓
[001403.3-001404.3] 您比如说
[001404.3-001406.5] 您就是他有些公司是
[001406.5-001408.3] 比如说会会泡给股东分工
[001408.3-001410.7] 但有些比如说他就是现金组
[001410.7-001411.9] 就是放在账上
[001411.9-001414.9] 这边由自由现金流标组的也是您的
[001414.9-001420.1] 就是比如说就是租赁累或者是拼多多那种的
[001420.1-001421.5] 就很多现金
[001421.5-001423.3] 这种您会去去看
[001423.3-001425.3] 您的意思是有的公司他
[001426.3-001428.3] 所以您刚才一直在强调给股东
[001428.3-001429.7] 长期股东创造回报
[001429.7-001431.8] 但他其实可能有时候他就是
